ITEM,NOMBRE COMEDOR,COORDENADAS,CUPOS,NICHO,NODO,COMUNA,COMUNA RUTA,DIA ENTREGA
167,A OTRO NIVEL,3.428703, -76.507350,70,4,2,12,12,2
706,AARON Y MARIA ANGEL,3.434328, -76.468661,100,15,4,21,21,7
488,ABRAZOS DE ESPERANZA,3.379298, -76.559584,80,4,11,18,18,6
535,ABUELOS DE DIOS,3.448568, -76.538552,50,3,1,19,19,3
37,ACCION DE GRACIA,3.472555, -76.514340,80,2,2,4,4,1
729,ACCIONES OPORTUNAS,3.3,-76.573,60,1,11,53,53,6
695,ACCIONES Y BENDICIONES,3.421923, -76.463138,80,15,1,21,21,7
332,ADENUSI,3.419437, -76.476085,80,7,3,14,14,4
264,ADONAY,3.423875, -76.473543,80,6,3,14,14,4
285,ADORANDO AL REY,3.418613, -76.483563,120,7,2,14,14,4
469,ADULTO MAYOR,3.412960, -76.511345,120,9,4,16,16,3
245,AFROCALI,3.427519, -76.472811,120,6,2,14,14,4
316,AFROVIDA,3.419843, -76.475679,80,7,3,14,14,4
439,AGUA VIVA,3.409305, -76.497973,100,9,1,15,15,5
278,AGUA Y PAN,3.425,-76.475,70,6,1,14,14,4
187,AKI COMO YO,3.427573, -76.493385,100,5,3,13,13,3
270,ALEGRE,3.424275, -76.477095,80,7,3,14,14,4
685,ALEGRIA DE LOS NIÑOS,3.439730, -76.471014,80,15,5,21,21,7
213,ALEGRIAS DEL SABOR,3.413863, -76.500208,70,5,5,13,13,3
304,ALIENTO DE VIDA,3.414701, -76.478725,100,7,2,14,14,4
381,ALIMENTACION SALUDABLE,3.393826, -76.509495,80,8,1,15,15,5
114,ALIMENTANDO CON AMOR ALFONSO LOPEZ,3.458971, -76.480388,70,3,4,7,7,2
708,ALIMENTANDO CON AMOR DECEPAZ,3.429011, -76.463056,80,15,3,21,21,7
733,ALIMENTANDO CON AMOR LA SIRENA,3.405868, -76.575701,80,3,5,7,7,2
502,ALIMENTANDO CON AMOR LOS CHORROS,3.388641, -76.564329,80,6,11,18,18,6
454,ALIMENTANDO CON AMOR MARIANO RAMOS,3.400897, -76.512884,60,9,5,16,16,3
507,ALIMENTANDO CON AMOR POLVORINES,3.376,-76.558,80,4,11,18,18,6
691,ALIMENTANDO CONOCIMIENTO,3.40525, -76.4709167,80,2,14,21,21,6
657,ALIMENTANDO CORAZONES 2,3.427422, -76.462913,80,15,2,21,21,7
119,ALIMENTANDO CORAZONES FLORESTA,3.441548, -76.509999,80,4,4,8,8,2
284,ALIMENTANDO CORAZONES QUINTAS DEL SOL,3.434833, -76.475256,80,7,1,14,14,4
333,ALIMENTANDO EL ORIENTE,3.435272, -76.474975,100,7,1,14,14,4
131,ALIMENTANDO ESPERANZA,3.430781, -76.525369,70,4,6,10,10,2
263,ALIMENTANDO FAMILIAS,3.425662, -76.470101,60,6,1,14,14,4
686,ALIMENTANDO PANCITAS CON AMOR,3.433339, -76.464368,100,15,4,21,21,7
512,ALIMENTANDO SOÑADORES,3.383107, -76.560485,80,4,11,18,18,6
262,ALIMENTAR CON AMOR,3.422129, -76.472030,100,6,3,14,14,4
500,ALIMENTARTE,3.372647, -76.555734,120,2,11,18,18,6
583,ALIMENTO UNIVERSO DE VIDA,3.419794, -76.558765,80,12,4,20,20,7
371,ALIMENTOS CON AMOR,3.390682, -76.509419,120,8,1,15,15,5
208,ALIMENTOS DEL CIELO,3.426911, -76.485968,50,5,2,13,13,3
222,ALMA MIA,3.430230, -76.494363,60,5,4,13,13,3
160,ALTERNATIVA DE VIDA,3.429800, -76.473017,70,6,1,14,14,4
525,ALTO LOS CHORROS,3.388057, -76.559950,60,6,11,18,18,6
113,ALTOS DE SANTA ELENA EPERARA SIAPIADAARA,3.457261, -76.549430,50,1,3,7,7,2
658,AMANECER MEJOR,3.401,-76.472,80,5,14,21,21,6
348,AMOR DE DIOS,3.394721, -76.505122,50,8,3,15,15,5
569,AMOR DE JESUCRISTO,3.417901, -76.561128,100,12,3,20,20,7
570,AMOR POR MI NACION 1,3.419022, -76.566733,50,13,2,20,20,7
574,AMOR POR MI NACION 2,3.427286, -76.555534,100,13,1,20,20,7
684,AMOR Y ESPERANZA,3.438082, -76.468236,100,15,5,21,21,7
47,AMOR Y PAZ CAMILO TORRES,3.482074, -76.505874,80,2,2,4,4,1
388,AMOR Y PAZ LLANO VERDE,3.395148, -76.505613,80,8,3,15,15,5
605,AMOR Y PAZ WOUNNAN,3.424,-76.557,70,12,3,20,20,7
163,AMOR Y VIDA,3.434166, -76.503654,80,5,1,12,12,2
30,AMURE CRESE,3.444173, -76.535355,60,3,2,3,3,1
677,ANGEL DE LUZ,3.409635, -76.474076,120,4,14,21,21,6
302,ANGELES DE DIOS,3.424293, -76.471960,100,6,5,14,14,4
35,APASIONADOS POR LAS ALMAS,3.443350, -76.529380,70,3,2,3,3,1
311,APOSENTO ALTO LAS ORQUIDEAS,3.415311, -76.474919,120,7,2,14,14,4
211,APRENDER CREAR Y CRECER,3.425845, -76.486800,100,5,2,13,13,3
224,ARCA DE LAS TIAS,3.429792, -76.488498,80,5,2,13,13,3
364,ARCA DE NOE 2,3.411498, -76.498436,70,9,1,15,15,5
656,ARCO IRIS,3.408780, -76.467644,100,1,14,21,21,6
312,ARTES Y OFICIOS 1,3.425658, -76.475529,60,6,2,14,14,4
349,ASOAFRO,3.406,-76.496,70,9,2,15,15,5
487,ASOBOSUR,3.392873, -76.553347,80,5,11,18,18,6
126,ASOPANID,3.441389, -76.527061,80,3,2,9,1,1
461,ASOPAZ POR UN CAMBIO,3.412784, -76.502806,60,9,3,16,16,3
810,AVIVA FUNDACIÓN,3.491210, -76.491489,80,5,2,6,6,6
661,AYUDA HUMANITARIA PARA UN MEJOR VIVIR,3.406428, -76.468958,120,2,14,21,21,6
399,AYUDAME A CRECER CON LAS MANOS ABIERTAS,3.417881, -76.486843,70,10,4,15,15,5
233,AYUDANDO FAMILIAS,3.420121, -76.487576,50,5,3,13,13,3
2,BAJO AGUACATAL EPERARA SIAPIDAARA,3.457261, -76.549430,40,1,3,1,1,1
794,BANDERAS DE AMOR,3.408637, -76.492694,50,10,1,15,15,5
137,BARON ROJO SUR,3.433165, -76.521435,80,4,6,10,10,2
395,BARRIGA LLENA CORAZON CONTENTO,3.406780, -76.505336,100,8,3,15,15,5
344,BARRIGUITA FELIZ,3.4102222,-76.4893611,120,10,1,15,15,5
347,BARRIGUITA LLENA,3.407591, -76.498292,80,9,2,15,15,5
414,BARRIGUITA SIN HAMBRE,3.396855, -76.511750,70,8,4,15,15,5
271,BARRIGUITAS LLENAS MANUELA BELTRAN,3.415397, -76.473095,70,6,3,14,14,4
709,BARRIGUITAS LLENAS REMANSO,3.419986, -76.463684,60,15,1,21,21,7
427,BARRIGUITAS LLENAS VALLADO,3.407550, -76.497154,50,9,2,15,15,5
299,BATEA COMUNITARIA INFANTIL JESUS NAZARENO,3.416279, -76.483978,60,7,2,14,14,4
633,BELLA ESPERANZA,3.438074, -76.472177,80,15,5,21,21,7
631,BENDICIENDO CORAZONES,3.428583, -76.464552,80,15,3,21,21,7
456,BENDICION DE DIOS,3.440248, -76.476190,70,9,2,15,15,5
701,BENDICION DE DIOS OLLA COMUNITARIA,3.440248, -76.476190,50,15,6,21,21,7
476,BENDICION DE GRACIA,3.402615, -76.516068,70,9,5,16,16,3
618,BENDICIONES,3.402,-76.472,100,5,14,21,21,6
36,BENDICIONES DE MARIA,3.470009, -76.497929,100,2,3,4,4,1
155,BETANIA,3.420273, -76.520181,100,4,7,11,11,2
556,BOMBILLO ROJO,3.423833, -76.561066,100,12,3,20,20,7
149,BOYACA,3.423449, -76.520123,70,4,7,11,11,2
101,BRISAS DE LA 81,3.454107, -76.477641,50,3,4,7,7,2
346,BRISAS DE LA ESPERANZA,3.408983, -76.486856,80,10,1,15,15,5
538,BRISAS DE LOS CRISTALES,3.434,-76.556,80,1,5,19,19,3
411,BRISAS DE UN NUEVO AMANECER,3.408111, -76.492843,40,10,1,15,15,5
412,BRISAS DEL CIELO,3.393697, -76.506840,70,8,2,15,15,5
31,CABILDO INGA,3.445,-76.532,100,3,2,3,3,1
510,CACTUS JANETH,3.386007, -76.561211,120,6,11,18,18,6
42,CAFE CON AMOR,3.469956, -76.511224,50,2,2,4,4,1
477,CALI SIN HAMBRE,3.411291, -76.503010,50,9,3,16,16,3
292,CAMBIANDO NUESTROS DESTINOS,3.435077, -76.476679,50,7,1,14,14,4
600,CAMINO A LA ESPERANZA,3.421680, -76.553234,50,13,2,20,20,7
39,CAMINO VIDA Y ESPERANZA,3.475146, -76.509641,100,2,2,4,4,1
97,CAMINOS DE ESPERANZA,3.455361, -76.479986,70,3,4,7,7,2
482,CAÑAVERALES,3.400273, -76.524684,50,4,3,17,17,4
805,CARITAS FELICES,3.3166078, -76.5028957,60,1,11,52,52,6
323,CARITAS FELICES 3 LOS NARANJOS 2,3.432182, -76.476781,50,7,1,14,14,4
329,CARITAS FELICES PUERTAS DEL SOL,3.427617, -76.470175,80,6,1,14,14,4
663,CARITAS FELICES VILLALUZ,3.410077, -76.478407,120,4,14,21,21,6
595,CAS 2 REDECAS,3.4229722,-76.55625,40,12,4,20,20,7
561,CASA DE AMOR Y PAZ,3.419477, -76.564434,80,12,2,20,20,7
339,CASA DE BENDICION,3.414930, -76.502925,60,5,5,15,15,5
71,CASA DE DIOS,3.476268, -76.481268,50,2,4,6,6,1
7,CASA DE LA PAZ,3.454089, -76.563680,70,1,1,1,1,1
489,CASA DE LAS MENAS,3.39,-76.555,100,5,11,18,18,6
483,CASA HOGAR PARAISO OTOÑAL,3.397659, -76.541862,50,11,2,17,17,4
648,CASA LIBERTAD,3.415442, -76.468172,120,14,3,21,21,7
121,CASA MATERNA,3.449200, -76.502133,60,4,4,8,8,2
277,CASA MILAGROS,3.431565, -76.482804,100,7,4,14,14,4
564,CASA VIDA PAZ Y CONVIVENCIA,3.418851, -76.566289,100,12,2,20,20,7
27,CASITA DE EMMANUEL,3.451731, -76.525983,100,3,3,3,3,1
330,CDI RENACER,3.427319, -76.482935,70,7,4,14,14,4
464,CECAN,3.415744, -76.507555,150,9,3,16,16,3
494,CECILIA HERRERA,3.392502, -76.547480,0,5,11,18,18,6
365,CECOM LA VIÑA DE JESUCRISTO,3.410668, -76.498554,70,9,1,15,15,5
86,CESAR CONTO JORGE ELIECER,3.476004, -76.484300,150,2,3,6,6,1
85,CESAR CONTO SEDE PETECUY,3.473942, -76.480223,100,2,4,6,6,1
393,CHEKINA,3.392852, -76.507718,100,8,2,15,15,5
562,CIELO ABIERTO,3.417640, -76.566258,80,12,2,20,20,7
504,CINCO PANES Y DOS PECES,3.394,-76.562,60,6,11,18,18,6
484,CIU,3.3930614,-76.5419612,50,11,2,17,17,4
637,COCINA NILA,3.430315, -76.467035,50,15,4,21,21,7
123,COCINANDO CON AMOR,3.441139, -76.533076,50,3,2,9,1,1
100,COLEGIO EL SABER,3.450823, -76.484482,70,3,6,7,7,2
327,COMEDOR APAI,3.437332, -76.476453,60,7,1,14,14,4
765,COMEDOR ARTESANAL,3.442672, -76.537426,70,3,1,3,3,1
28,COMEDOR DE REACCION INMEDIATA Y MIGRANTES,3.460189, -76.524172,255,3,1,3,3,1
338,COMEDOR DUO,3.410318, -76.498154,60,9,1,15,15,5
614,COMEDOR FUDECAFRO SEDE II,3.3785866,-76.5457768,0,2,11,18,18,6
